month,PRMS_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS_RAPID_Daymet2019_1980_2019,PRMS_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_Livneh2018_1950_2013,PRMS_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5_RAPID_Daymet2019_v20200704D_1980_2019,VIC5_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_Livneh2018_v20200704L_1950_2013,VIC5_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,nhmv10,nhmv10_withObsScaled,nwmv21,nwmv21_withObsScaled,pub_nhmv10_BC_withObsScaled,wrf1960s_calib_nlcd2016,wrf2050s_calib_nlcd2016,wrfaorc_calib_nlcd2016,wrfaorc_withObsScaled
1,12119.011567499114,18127.119283377215,20964.496577496288,14882.801684572734,15358.619829665531,15908.68611384698,12862.725664334219,16333.948838038781,12790.669745654965,15577.503165204624,17679.772421331512,15684.52152593509,16515.134063338355,13880.287369130168,13789.167989707392,15785.477814007792,14468.94384233122,12415.390535741166,16895.09603082648,13973.316857094474,15962.852826714112,12990.327069817926,16884.86139904653,16415.931310189757,18926.9026714485,11495.297756749518,12756.2931481977,19026.698206859353,13311.477050485504,19724.073665361662,15497.907620322603,15903.841442916382,14118.257322712474,13648.42239523944,13037.04590043708,16859.922385266673,24496.176845499078,29561.436983364805,18814.589827621654,18773.357496471985,21203.409472115356,18730.01566221151,17963.133157451055,23681.302516277316,23013.490293472823,17747.637128691684,21919.17855637452,23885.91973260049,22244.480149226358,21207.152276660963,16574.192781505266,16365.43851448768,20562.139684805417,18278.836551982688,16978.922774894636,20301.603365098777,14494.580903022545,18084.08899198386,16954.090469336217,22249.932749546824,19951.493160940645,24254.041553061506,15992.720333079924,17052.551885162622,23925.562689165974,17855.816377774932,27778.9145246386,19081.232525048363,19403.60214576908,19114.041864182444,17923.179653385956,16362.30349693662,21705.22617591132,29721.48656354969,15006.966624046678,28537.586991420798,22519.940617504348,8124.058669130468,16671.029096588944,18592.75993123588,26014.77962433407
2,19908.280939982502,17815.579499885378,21918.508467475454,17626.290306775165,20213.582413960747,19471.261715203986,26513.057393879135,21752.65943114231,16147.166188002682,22330.191514097558,22063.98155611833,18816.923550015526,23894.073677533634,16137.185779365198,16612.651408562728,16077.979812686594,18070.315546355912,19181.33062691161,24765.412571351382,13008.44141540419,16353.442212034834,14862.340531322667,22700.363842185143,20846.592997390195,18636.08399353704,14301.141409347485,14038.590860580767,22477.12566643602,17774.679003920297,19861.622153467895,14934.402967197304,18866.213142066168,17348.97469944226,18574.176210590394,21340.5421232234,26051.6714368647,21646.600575896762,23800.15877150602,19690.165795846253,21242.195078285506,21020.998562586858,33173.28379330101,21761.649614136924,18636.852137935515,20277.37761156476,20129.98853814819,27492.22523080224,23996.551662992973,20478.048139915172,26005.37230003482,15377.64483541108,17862.7031337882,19664.620711968084,19062.266481569528,22187.38290835338,26374.769350198225,12644.816550544087,16848.864016824253,21553.673316611927,26559.702719340017,21162.178341397746,21327.815318984573,19344.34476995993,15507.41192910091,26034.01226482099,23396.71461839809,22991.650854881387,18803.494216768275,19272.558789978353,20287.87049567353,19443.118626672556,22288.650630914348,21203.4581740568,21445.369794192728,9860.175001244004,19398.139704423993,18300.95506172667,10036.997510363099,13419.237320065607,13531.547279679,19431.61203435174
3,26061.525435034975,22377.166047386538,25698.12863086801,20212.145444641326,25573.074510339862,23885.637582716266,22758.083001476287,31680.02768207977,20744.30203860263,24241.441566417772,21867.258256347966,20424.543073363413,26068.64141295295,20048.0238368065,17227.48978042209,20017.693501774927,19946.66557571186,21688.85150852967,22336.65192247923,16904.579980046397,22719.68175727716,22126.55013997875,24344.22086575995,26695.686889944547,22474.5486022213,19987.50731641785,20215.932391071416,16331.266223832758,27512.607608484166,21047.210725502086,19003.560703119667,22843.613879596793,15763.8987973203,20872.8706631272,22121.86249916846,31216.61268880629,25584.798658479325,28479.800193131803,25341.5274250359,31021.95913546895,30586.94787400116,25961.51850484436,36288.50049605376,34850.45678491506,26807.852229621345,23360.74186267979,27706.627376297707,25922.27179627276,32556.550244881397,33977.241268778605,27712.519232044073,25699.612158027696,23055.189087778977,25760.31716792861,25298.533434161345,23030.199234396354,21426.1229796026,31474.92106771691,25614.054951025984,27706.579310371686,31185.357491823357,22459.719185161648,25186.131789717325,23810.506965266297,19733.918799329098,31611.441897578512,23801.33260252542,23044.979851350578,25748.087671379388,19699.367036293657,22097.80824951462,26018.489043281792,33755.618541131276,35160.34550496026,17268.168171290778,32712.696577545466,28579.00929684234,22445.074151535595,22439.245786470372,20216.59590937691,29449.130188349696
4,21483.484858913056,19509.16495515072,19440.95694471153,20629.54632146977,19255.529010110717,26142.29793472071,25460.58357031575,17304.96905169476,21238.90970715468,17907.906647599713,18245.749377486274,19361.744010342478,21794.53359676773,28263.10646155397,23174.403276621557,22393.590833461512,19645.09675116512,18966.944198270507,16749.719568651057,21066.345377480004,19615.742554942997,16736.920381979195,21534.452198343326,23904.169423961695,15811.179781845822,17389.344569173194,16134.614279575635,23403.107788149704,18479.05092550923,16973.522326549948,26573.649729101286,19790.111840947953,22134.159130117583,28486.332871653118,17306.00038190574,22369.075534050808,21219.730518979788,23009.059637763086,25649.930323728135,23818.28267517858,30880.419113748027,30657.697600913176,23107.69382220455,25052.617083808324,26535.56076038362,24140.195636585802,22330.092786315337,20967.093770608302,21490.214936992284,28286.50848324903,31867.576817588968,25156.82803681808,27574.90688847898,25549.040887258758,23203.470635160218,20648.704767114043,28106.999794502586,26354.31766824979,21277.71911811819,26858.650738710316,27681.286071044287,17900.186038574415,21821.55323183116,20512.580075292175,27462.570966600382,20811.41531504852,22357.644715146726,27983.192905250315,22484.105422578068,24969.34437902576,31089.775705155127,21858.934624940153,38209.694982955996,38029.24222994999,16821.48054405852,35280.05986270853,33565.04700994469,21163.91681151291,15152.038238161802,21052.53740578777,32109.847243081393
5,16959.471343488633,16802.595197995644,19806.538487809736,14817.785402936715,17705.24162416101,18864.32313169022,16113.291244750006,15440.463744351364,15864.941045196163,18683.261229568445,22091.685326630726,12773.35692541436,17175.452060952317,17558.50276833663,11846.516631932971,14304.099348402451,14149.273827156152,14334.23691057743,16482.24891285594,14864.41354457795,14371.16394428367,14775.420472381575,17687.16437114041,15514.837256738809,12956.071241369233,13086.244955609409,12147.10998030369,14339.44233453343,12809.230425032842,11148.346004504048,12960.09432776629,17237.33639843886,16270.39085064071,16789.451232270934,16542.21503346044,20848.48765818799,19152.09986378067,21720.050867497634,19842.73259364736,20966.974926476258,21438.50475786052,19602.173456947534,18728.108139054282,28129.141841535573,17581.367102187884,20292.054700143733,23285.33497338601,24829.42498806388,15235.549949853264,22412.92820236552,19296.528820192216,14742.597322489024,17362.37871040829,18991.850622780054,21644.376070518025,20257.625860186774,14832.778541658916,15433.924224523233,19209.59063153426,20857.06278629486,17099.397134169292,16719.855356782213,15609.024210033002,15253.157754937924,19143.777947867762,14365.722792505954,15272.8469688929,15740.094916871634,21100.97529386752,20926.345747910193,18169.140526394847,19419.527417152316,19951.84047989582,24817.022802367406,13858.106446246546,21967.85892458254,19288.612741423458,13993.364270844468,11383.522130912334,16275.679207461819,21430.33406621308
6,11159.300084245197,17186.694964718474,22297.20351349497,12319.594763464229,15101.482280271948,16528.895065641696,13218.224548573804,13174.915338290653,26102.376871444118,15581.488186074443,14177.628251981636,14475.839355629261,13287.098642822042,16424.384378963005,17392.508810520725,11659.984025072223,19447.167394992128,13936.9571453903,12014.720626862645,16378.836916927785,14510.12613258693,16101.193796334765,18193.714674557035,13406.152545805537,12786.183774891071,12955.600683246752,10215.629015339922,15244.120312435141,17651.88743277251,12873.869267323984,12507.467725588467,13506.090390958627,9451.632822870079,10811.212861445185,9221.443496742522,14307.836306541534,19714.800412076285,23757.274024555085,14252.654934584834,16901.51368949114,18498.264325234606,17110.94781327756,16317.223045513205,12565.99318170362,14524.385575689144,29541.82378520776,18940.048077261246,17733.00207777265,17568.0209667916,17012.748852010183,18242.68774216722,20815.59512184994,14090.800470137263,20196.850780276993,17113.67734894275,16710.82101990681,13587.751140818613,17663.815595105323,17518.586020920393,19994.972445401127,16374.046558169386,16698.008706788783,16008.945083829427,13414.14283809818,16788.893475792076,18697.943519830944,16891.285233914943,14964.647221255109,17615.27416445773,12203.154961540316,13014.985551027143,12418.764135455896,24135.691610273752,24734.242932094086,12160.559069137988,22561.47133635003,15843.616970827079,11105.103742459347,5595.467508081086,17794.518270732347,21765.218365574154
7,8993.443385268836,13890.32233126588,18891.29174000469,19547.8892420269,18501.531888138994,9741.751773495935,15690.423739344904,19091.95219995131,11163.05503675593,8267.457558833095,15351.292390006545,11703.8790253371,10222.600695227009,9453.437230191237,7836.052050724918,9401.310413425748,25404.95863225649,11193.661317419397,9848.685513387247,11050.671441086397,10496.18043968837,10666.533891636089,12893.527668467135,11055.090677812219,15386.556009337128,12059.00034348332,11152.887362666588,13940.618005526825,13401.762016527118,10033.661885286345,20057.814847477795,12876.438936473176,11196.932145740024,11235.5670217914,25299.35351758144,11551.305266821146,16487.22452411552,17773.683484207355,18726.33027360911,20548.651811963402,12680.394639841095,16499.109376216133,17105.491532106833,13238.833167526964,11852.154599470972,14198.41768799283,10765.137681582402,17514.510349252945,14506.394882047443,14385.395915010336,12376.72086002765,11509.238264639567,11000.153107551128,24093.387871335264,14239.008125906099,12742.114994306288,9947.693062338289,12941.882618707039,12103.724247317003,16069.599390486195,13650.410193786722,16115.865944826317,14329.171045447834,14400.179270655457,14752.783058802243,14992.3032039749,12110.547933789028,17946.80632517269,15794.258448040362,15167.493605848667,14034.950845374795,22788.43336965796,16079.255318662777,12682.928614416585,13051.649591902642,14888.19722958063,9927.265654313593,7063.058477386974,6616.612496016178,10691.831811570872,13248.86853330761
8,5200.687684634415,7372.554216874636,13963.520384687934,9968.955127149638,8272.897839041449,8699.01012753266,20659.334862351858,3865.250217150854,7802.492656460374,9087.553897148668,8657.062648257706,6064.393336080578,11126.183582999569,9531.773539448119,6502.644306730313,11101.615769222788,5433.094705219282,6918.835925317702,6991.173128487777,8794.879565800371,6302.522835887263,4356.978122118797,7802.9020825304715,7156.078504512497,5423.955386913191,8436.281893657857,6303.376421573652,8030.520171270693,4102.422063343584,5777.460370489521,9827.628146180083,5016.362573666905,5932.984557467104,6832.874417633092,6224.019371585417,11197.09885838899,12663.98440710232,17780.068429103358,15633.010592963577,15030.632596130039,15170.230998469293,26086.95817539435,6667.839003324509,11884.293418360961,10765.612873010501,15115.926846194872,15304.851018312602,14307.50907024609,12298.415241698052,16870.856169521317,15450.620349276078,12694.541863469083,15910.783286560181,11204.43203929502,11890.640424290377,12654.086439235032,9856.681186893482,10674.54576731059,8738.173092459167,11632.294840999264,10861.766778350893,10478.396385809896,11311.638673009094,10673.262668431003,12724.473294727739,8052.691216027084,10487.782478500887,15940.63177609419,9385.112237494815,10986.799687280936,10585.806962003155,10309.70937285646,21278.614136705834,17189.43895370579,8681.738615159353,15304.222415045593,12517.870528006533,11318.425202546821,14299.190932608935,13959.17242306009,19629.993233353674
9,8912.747409073103,10029.741202582227,9061.604581631267,10976.037077506724,7041.3934577064765,12739.608286966633,16379.765744083285,7940.615631775056,6982.967450235254,15857.107660360802,15637.620088250897,18781.5380523576,15006.870190258667,12872.403954588948,9005.952589332364,11112.598338571583,9115.68740053256,11016.825270792287,11644.825488142433,13217.52270019733,8539.354690504277,7141.314303539749,4947.778657100372,7539.672884665712,7179.465942795201,9973.72094753199,7622.165378744937,10238.478198081144,10328.805170173011,15941.970402596298,15302.49984200043,10019.466644907416,6746.555674439876,12290.414560688556,5487.288185545172,13505.971779303214,13972.02744961663,13115.915684118625,16793.045005314838,12004.281218618535,17606.11174580138,19646.74541295483,12920.406414121095,13068.29777907791,14374.166712281733,11116.959712212878,18428.967226354598,18798.73030596091,23227.423072123584,21871.052419704352,19663.874679884353,13403.543719822128,15858.022106426768,13552.081595144782,15901.722458048409,15416.178500341615,16466.586836056187,12520.30222547648,11734.323708461932,9152.24021657615,12786.391857628201,11534.160384987706,15363.8366328911,12895.518392896041,15854.745567778524,15565.345632590948,19585.217965184256,19230.538725842944,13564.81567657755,12135.66131573721,17006.988426641823,9806.621101503626,29338.468511516807,27228.2934223273,21908.25612329612,30470.382395968034,18157.118374220798,10231.418890885703,14676.27258602682,26885.746006263857,27101.95018436665
10,17170.340407811353,18874.55317608356,13841.517130862398,15318.738579453287,21110.56351819232,13110.053296460195,33906.73117896215,23126.784763195705,14400.274971812823,15783.92725071758,17659.14309687772,16468.24061892035,23976.8030757505,13789.607556566867,19279.89190274826,13981.446423259216,11425.947569948474,16585.118274952736,14499.09189930204,16257.432741852943,11727.511314703346,18811.600049684082,18273.572250574747,9003.365945598447,19129.662515560405,13154.638095594342,10461.406168802378,11192.883272147095,20001.521987211225,15414.64790034086,15982.025060935886,16548.915328971794,14190.235316276385,15677.467660669256,12984.307128364146,18907.9750656776,20112.576506723082,16975.5896677907,19162.914193578054,26262.211622859948,14998.175833874957,35632.990947632265,24676.819229034656,20783.521888321837,19220.44223952724,17178.76074602522,19861.93123913998,20740.95238926372,22514.453949146173,28312.703686323366,17065.103342969844,22475.003032433164,15004.694796811102,15323.16548226233,22366.340077939407,17082.26767507341,17186.65216132981,14810.85622920649,21119.310734726907,19300.249318342896,12475.828470696237,21202.425968339645,15147.14132288034,12304.312506451271,15001.748354339066,25871.90058019881,18192.601160396018,20461.430256411262,16017.38205885854,14743.484157304734,14984.752829351457,17534.969143691484,27297.4572435456,23826.990769896645,18818.173549098872,23994.16665187583,20658.7005492139,13840.04171721321,29457.005765379923,25405.69012356987,24230.76304287927
