month,PRMS_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS_RAPID_Daymet2019_1980_2019,PRMS_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_Livneh2018_1950_2013,PRMS_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5_RAPID_Daymet2019_v20200704D_1980_2019,VIC5_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_Livneh2018_v20200704L_1950_2013,VIC5_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,nhmv10,nhmv10_withObsScaled,nwmv21,nwmv21_withObsScaled,pub_nhmv10_BC_withObsScaled,wrf1960s_calib_nlcd2016,wrf2050s_calib_nlcd2016,wrfaorc_calib_nlcd2016,wrfaorc_withObsScaled
1,1.039034717470855,1.4604907849583473,1.705137008587581,1.5475299574722878,1.7325811059241258,1.018076919381632,1.4045275860755222,1.5030800873006962,1.0665287798159726,1.1943762119727004,1.5349498909610775,1.1189863391156638,1.3833617866750787,1.0,1.0904300581075481,1.3995794083167283,1.495585241583575,1.2466558903957996,1.4648993934115606,1.0,1.033113608771064,1.3128570134248352,1.4300860780179876,1.2261754494346424,1.5920317227644667,1.1121583218332365,1.257924037466813,1.5319094073720998,1.2287579488976819,1.6432486743391528,1.1113852860824909,1.2007654869517372,1.1941640463176357,1.0918912145018056,1.2624905679328688,0.989145415625645,1.6181971641461534,1.9775032327961206,1.5887934192181157,1.9107568135331772,1.0088145547685086,1.4583452803295012,1.5114363477222266,1.4542945024648992,1.6779751826102314,1.0690919389815154,1.294311162979851,1.7362757256606263,1.1481516279263124,1.488905502414367,1.0,1.0436304118915993,1.4444227110933001,1.5042622983668514,1.2790172521474041,1.5909400462321281,1.0,1.0124262396385955,1.2561895610034077,1.5526867110579934,1.1875376570482707,1.634584304334042,1.0777666379163688,1.3404975706697027,1.6970434068202471,1.2643977350401294,1.7674520668717502,1.0625533543731607,1.2769780267083908,1.2956334718281441,1.1325511978747942,1.2915250310314728,1.0157603206793246,1.1695331647934055,0.8764422718164626,1.1787312814136235,1.0,0.5856221458237012,0.8665212443210661,0.8936948174448216,1.0746784441848414
2,1.2846521980273555,1.689309169467074,1.6601890931286853,1.5531310630371298,1.8741141933023548,1.1590987828964512,1.6642072022822487,1.6991794349529372,1.162378920374476,1.4921684088688298,1.8056407867645456,1.3033477510513762,1.6445061803686607,1.0,1.197747978662865,1.4376516289672987,1.7670291491480004,1.5089202883698116,1.8097393503144221,1.0,1.1579858829642522,1.5103256791140207,1.791198076860376,1.6836996817392915,1.8223142760363584,1.250892728540648,1.4530482156931996,1.7364329744138833,1.6006455357299194,1.7201866886064527,1.1769842462456186,1.3680574730707025,1.5854390025420404,1.493503437598471,1.6171054389915365,1.2207481795554216,1.554496654660935,1.6281656483891631,1.4361385825038233,1.7560424767674243,1.026950139439481,1.512955210422345,1.4380473739428024,1.2668983344712563,1.7873399029323678,1.109829199113254,1.3904139469025503,1.6867490509975487,1.1391787781906255,1.462664880128026,1.0,1.0558849098793615,1.3003006744709604,1.579184051962361,1.4618987831960462,1.7153385433052226,1.0,1.0131507144202523,1.4255972736297413,1.7149136655914188,1.4192810134622735,1.6381980163671597,1.1570187514493462,1.3889541438705586,1.7176354915140375,1.4464089005775675,1.591696965678783,1.1007669627783145,1.2368749892830155,1.434609915454619,1.3278412480581148,1.4104954117217052,1.0423134395599918,1.0246000329779745,0.7860104948921562,1.0190294060159015,1.0,0.7107344349388072,1.0579431694289925,0.875349089949663,0.9688926518733342
3,1.1385724076635182,1.234574141387645,1.28935203242315,1.197704829931885,1.1823534179070958,1.0689801197799653,1.219801238323501,1.421553111246931,1.0575738461973765,1.2990765667066482,1.1925848409847382,1.3300728052754782,1.411914310884817,1.0,1.0909545123542412,1.244076087970687,1.2002786284081168,1.1649817959236728,1.1848321881718022,1.0,1.2103947868647023,1.1338692423980912,1.2445570478945278,1.2460795437398489,1.2237521033718937,1.0641472880973977,1.1513243013469334,1.1490585999841485,1.2693172270230177,1.3288105782408517,1.0212182048246414,1.102963118283626,1.1053916188765023,1.0642382179246155,1.1402431471658827,1.092489649354934,1.0917000430676438,1.1648867234086338,1.1123509020499605,1.1159229103100734,1.1067479818179724,1.159776729950131,1.2171334666154006,1.1675830765358888,1.1307379738477135,1.034678133869438,1.1760762883427869,1.0931427464947439,1.3125818289588058,1.286095727749751,1.0,1.053517344630932,1.17816132321476,1.13584276089714,1.0763896796388575,1.1126627253809314,1.0,1.102908111498214,0.9978702265885456,1.0917272418464148,1.0929687388514027,1.0690668927846865,1.041051860587639,1.0278641489498483,1.0512438711866985,1.1530094012004277,1.184882180237501,0.9363417910903374,0.9869213399307853,0.98484681245823,0.9328227875282518,0.9542568244282931,0.9774198824397533,1.1094026021542336,0.5753786045033035,0.9987072291225196,1.0,0.770387134313283,0.9849090703390795,0.6699421496846233,0.9238198070367689
4,0.8508161217529328,0.8084118262483683,0.771664601633684,0.8071781227069786,0.7713337383070973,0.8881985777399328,0.9108311289264387,0.8882937230438369,0.9174489705907923,0.8540705866812345,0.8239434418832007,0.9705644487674538,0.8590053665272975,1.0,0.9003597503635613,0.8141267759528803,0.7165105868616009,0.7374042063046736,0.7535407724686576,1.0,0.864638316143389,0.7571970487568721,0.8775946990287787,0.924648959946685,0.6678698701626085,0.8570414173866354,0.7186721505645645,0.8037079078440078,0.8599733814148596,0.7665015895095435,0.9294588498061834,0.882342351195752,0.8120982669443115,0.8920102516178284,0.7191108901270271,0.9022930391533459,0.921807920873105,0.9529335458680612,0.940604722295898,0.9586260095236359,0.9667381041415319,1.0309405023021578,0.9966536040748292,0.932027871858103,1.045084446791799,0.9240684582280606,0.9151270605951831,0.9210223363356983,1.019278317954709,1.0007467003692387,1.0,0.9631105738711114,0.939321277563416,0.8925292387760225,0.8865867420247734,0.9185015150328214,1.0,0.9297139934777529,0.882241126991754,0.9875459491797408,1.0115486786099375,0.8123594792539207,0.9358151880786961,0.8323367832451715,0.9586223093057454,0.9888784174868004,0.9347924256412711,0.9712849413869253,0.995477865272177,0.9052386812264586,0.9371830647244348,0.8731662428651591,0.8610280586084447,1.0841474637466524,0.5642530420979174,1.006320132817368,1.0,1.0303521789348584,0.7593964643570406,0.6421800294757859,0.9441606636121052
5,0.9615653478700878,0.9139467213088113,0.9363279584687636,0.8563664100295137,0.8898680029692365,0.9617650672026261,0.8641635296969739,0.8965910330808925,0.9372775173074455,0.975111477681198,0.9768588412950466,1.007613441195661,0.903869238224793,1.0,0.913544515128166,0.8460202184026082,0.7957103320727857,0.8004391948184253,0.7525188556167043,1.0,0.9331628019848103,0.8295993976263294,0.9124723298269174,0.8981353196484677,0.8007030258996002,0.9038506041221811,0.7821878930897525,0.7825068989890573,0.8390631142562003,0.7871527619379431,0.8893757405440904,1.003465980123565,0.9340082503304009,0.9418636278871586,0.7849736769725049,1.0374935537738006,1.0918452325126835,1.1674969711220877,1.050996125770541,1.124179939835911,1.033245282498349,1.048857090051074,1.0437748129896394,1.1782517361052136,1.1087254125695338,1.0037521559790323,1.1040589745210185,1.128507663252459,1.138285835161599,1.0952568533624922,1.0,1.0093062521920422,1.0354137195319322,1.0471759641784557,1.0293202085352338,1.014308461108146,1.0,1.0024559334298158,0.9774715712978699,1.05673124705691,1.037217640518646,1.0364045921210305,1.0188223777050809,0.9747629801125696,1.0205175651056952,1.0250313354654577,1.0076312876167315,0.9853097307289266,1.1546681282290254,1.1274169006343842,1.0752555306060367,0.986743540768123,0.9121386541190619,1.111408439980545,0.7801375114577107,1.1083672884107907,1.0,0.8036249849750611,0.6352400567585672,0.7816490576487365,1.010908319258616
6,0.8755406902422587,0.9776674772367503,1.1859863735093623,0.9828750682752663,0.9656029912388789,0.9740523445452648,0.9380621031890686,0.9527811443257559,1.0675857773894275,1.029560755991137,0.9634548618330673,1.1066639430425647,0.9429382820497243,1.0,0.9536365453980233,0.8579710972965672,0.8555506499272894,0.9059479338132245,0.7933071177832997,1.0,0.9666110490985325,0.8940808438341307,1.0139708381672197,0.8675433557365007,0.8055341001505292,0.906106457073036,0.8407136786344391,0.9242796971332239,0.9271708858551705,0.9165790133006108,0.9260702605059223,0.9527268193434305,0.8548388072152537,0.8204376148482867,0.662915428066377,0.9525715108354513,1.0648880874633053,1.2647856485734363,1.1092845153765498,1.0956197050329515,1.0155076211273768,1.0478648891951021,1.0417520303176762,0.980507382492019,0.8330738841949709,1.0816944396821404,1.0892870239900236,1.04511404284604,1.1630444165164393,1.032920294443825,1.0,1.0124405235217204,0.9983494188092483,0.9995600600105332,1.0520308117508081,0.9785819257239529,1.0,1.0069771263273146,0.9858886279657032,1.1157449036943679,0.9491255067697739,0.9248791832396448,0.9912695795112831,0.9957552337705652,1.0565779231652108,1.0467190082713747,1.0565309631327517,1.0015530269871682,1.0052226946193594,0.9795232709613519,0.924351144382358,0.7956113861384547,1.5459548227135496,1.3726471648275247,1.0364773089696617,1.4047950454342357,1.0,0.7935498027849539,0.5438279052782424,0.9551417647316869,1.166303651456564
7,0.9277436633399545,1.1007626803241017,1.4600302244094745,1.2293042189522947,1.350671635398609,0.9394116854752007,1.067542718299689,1.07651958541554,0.9849746960216115,0.9560325183712984,1.027431781154536,1.0349212399167895,0.8565291049890261,1.0,0.8980637777190833,0.7826952934320826,1.0290633129458358,0.8653156616790025,0.8065027028053141,1.0,0.9557759988134578,0.8279187158243989,1.004791232680892,0.9646611337575782,0.939703002956656,0.9922661861673957,1.0253542072287145,1.0884717117069098,1.0561699882658124,0.9140899891775605,1.0578792623868634,1.0874265505355079,0.9625492432774937,0.9396739883342838,1.0872033630086122,0.9542623532476531,1.1201893268489833,1.3342381424255714,1.1366281206587,1.273945669665691,0.9337117797526835,1.0203256858116871,0.966490112875124,0.8297225065034909,0.7914906724770127,0.9587087426116628,0.9623091423216861,1.0082702225964069,1.0262478686470446,0.9146645621620156,1.0,0.9662936619562172,0.8194088904889358,1.0162318309870624,0.8766187444356361,0.8544275439087732,1.0,0.9786249180165569,0.851306057101034,1.0288588685843645,0.9610795790754898,0.9457105184350764,0.9974553174217059,1.0735277528632046,1.0868323156501387,1.0883895017609533,0.9652611242717104,0.9936962545073694,1.0573507334342591,0.9619009298032261,0.933676496172117,0.9910875048415859,2.1477657618256702,1.3231073553697117,1.2856761865447746,1.5445892911376273,1.0,0.6711782075377266,0.5974900060715561,0.975732106096561,1.216045984452162
8,0.9244016340124247,1.104239481233793,1.3133261160981708,1.1043336456806847,1.2010886590298813,1.037948113823743,1.0929754298125567,0.6864361176923441,1.0271227455493892,1.0658548755776127,0.968683635091179,0.9280358566564677,1.0291635831055395,1.0,0.896664040037001,1.0658817453299536,0.9755759492406594,0.9425890037489845,0.9929606568832351,1.0,0.9659523988746038,0.8422549141349736,0.8779755897083271,0.9390901267917937,0.8676154838972272,0.9884749155287494,0.9454606387820708,1.0784697336814741,0.8075880704693763,0.8098790008908798,1.039274160228986,0.9175753978427403,0.8544993973416131,0.8586549216088644,0.7149892439687543,1.0457673658651625,1.1472836795194852,1.194301685802271,1.0799931317883376,1.1427690063940183,1.0287147119410136,0.9442860244923548,0.6073958879163627,0.842410814395503,0.7050331243225145,1.051099883151984,1.1128454424016445,0.979533646531878,0.9568712751454335,1.0119466766510603,1.0,0.9710110846139259,1.1039079702147907,1.0698146462841773,1.0331421526681839,1.1019878330689743,1.0,1.0106757005264009,0.9331639903352152,0.9363672013446672,1.025638802520162,0.9359621131815425,1.0149746180234538,1.0032160755245667,1.0644067070323926,0.8496419641423516,0.8641679868937515,1.0432239401036445,0.9032291190991044,0.8584941674366274,0.8648921648090592,0.69991447425757,2.4035989869617054,1.3154967924389536,1.0972500254742519,1.408036921063352,1.0,0.805686775732028,0.9055965529510818,1.0286878973198652,1.3124778285262946
9,0.8562472922924849,0.92755269911358,0.9926299963123946,1.0416314068757169,0.8898878768983325,1.057756612020577,1.2083105592115821,0.8265710470767312,0.8752431500584839,1.253983917114985,1.2486474030132535,1.3958683651280035,1.3609454155831977,1.0,0.9628085493797114,1.0148679699724217,0.9139905172911345,1.1592331055738818,1.0120125517386984,1.0,0.8616678150838413,0.781738920007202,0.7656998092085361,0.8676240778927715,0.7379776030568426,0.9754368439328085,0.863083519507325,1.0558197115336752,0.8813775960098262,1.0850185387384028,1.098417249828716,0.9225869636131661,0.7670742808289964,0.9679680886203285,0.7391717777549974,0.8738320221456461,0.9218256715135692,0.9761483382321341,1.002325439845137,0.8876339496565077,1.0019717036557012,1.0893345731790005,0.810001627467391,0.8800995771200522,0.9454573745842977,0.8880160641440533,1.1235090546148314,1.0907821442572925,1.2770123484044011,1.195337147577245,1.0,1.0018918368187544,1.0155513092559243,0.9163058011451293,1.0912313222343786,0.9797321892304703,1.0,0.899019071056378,0.8124578273701417,0.8182450136421552,0.902886640199409,0.7840424463348121,0.9642365981615072,0.9297384687985258,1.0413965283995512,0.9191884776600179,0.9932612075381122,1.0125337948434459,0.8866916079405789,0.8132109090953036,0.9189269593935929,0.7760743260444368,2.305232199160072,1.363545005165258,1.149239798187642,1.4386514246079678,1.0,0.600630361493916,0.770397030861671,1.2875646045083384,1.318782763770213
10,1.041795732016284,1.012227683953554,0.8323455295015485,0.9055938678370736,0.8618124306874391,0.9958615254663961,1.5615545590404152,1.2510365761150992,1.0210033218500292,1.1269616528226034,1.0821777701556394,1.1029132269311703,1.5182311336928618,1.0,1.0331361211021888,1.0763457605029723,0.9214550536552463,0.9744639653609749,0.8379851080268704,1.0,0.9744316623685807,1.0204332475379811,1.027906528359901,0.6976974301017633,1.0590734731479847,0.967825576927826,0.7264521998151581,0.7867101830967769,1.017915097532251,0.9524473883088371,1.001139295877837,1.1029470810206983,0.8609186113804509,0.8537335727824871,0.8018881934460451,1.010589373330603,0.9869576863498035,0.9097300805948517,0.9618060150015784,0.9177529913939174,0.9604368288586815,1.2593745337360667,1.0610018510807717,1.1167945035912332,1.0152727349506732,0.9842301049418344,1.0936783287875385,1.0256310047706305,1.067586548564197,1.3171591848667146,1.0,0.9999029071239022,1.0362203993258379,0.9746518011319811,0.9744661926550338,0.8757305371217263,1.0,1.0025269060540178,0.9417198858429863,0.9860157145709265,0.7616253347077272,0.9860211968776303,0.9822693716890721,0.8289579707860611,0.8858371292622318,1.0744373572854105,0.981284615728277,1.0146233297841933,1.0584969675259586,0.8546695062901323,0.8243822034707043,0.8549100615075688,1.7132748584004152,1.295099311356389,1.0025983260247706,1.237568363912342,1.0,0.7290464337488417,0.9758547382325362,1.2699981865754126,1.2580631118353267
