month,PRMS_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS_RAPID_Daymet2019_1980_2019,PRMS_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_Livneh2018_1950_2013,PRMS_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5_RAPID_Daymet2019_v20200704D_1980_2019,VIC5_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_Livneh2018_v20200704L_1950_2013,VIC5_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,nhmv10,nhmv10_withObsScaled,nwmv21,nwmv21_withObsScaled,pub_nhmv10_BC_withObsScaled,wrf1960s_calib_nlcd2016,wrf2050s_calib_nlcd2016,wrfaorc_calib_nlcd2016,wrfaorc_withObsScaled
1,-13509.488449540408,-2431.9582831079097,3998.310804042092,-144.22503268290893,4719.65008371709,-14060.342164707912,-3902.8921992579126,-1312.543193707912,-12786.835892082909,-9426.500389357912,-474.8788707079075,-11408.044031132908,-4459.213010470412,-14535.475008232908,-12158.615890720412,-4032.9498556079125,-1509.537343107906,-8052.3839404579085,-2316.0826393579046,-16984.77247778916,-13665.118574007909,-6312.356938882913,-3231.1140773079096,-8590.690824782912,1025.4571370920894,-11587.511295357912,-7756.212527282907,-554.7947890579089,-8522.81253825791,2371.6409267420895,-11607.829728307912,-9258.565005857912,-9432.07694080791,-12120.210929245408,-7636.186069257914,-13400.196653302912,4037.1924400095886,13997.199287417097,3222.11714244209,12146.980627329598,-12854.96578291541,-393.9207425954082,1077.7699437170959,-506.2087855454083,5694.2462032920885,-11184.069541832909,-4940.965934872911,7310.344172834586,-8992.525585442909,453.2122389520882,-13099.306286767911,-11889.866093262906,-779.8560134554136,878.9044445295876,-5364.914957462912,3281.6218979245896,-15952.138686961036,-12754.849449862912,-5997.701264020412,2221.234908909588,-7900.740185822906,4491.445910022085,-10943.60585828041,-3660.673234622911,6222.819640454589,-5770.169705987908,8174.556049652092,-11365.31988284791,-5421.442528545405,-4904.311376732905,-9424.971357147908,-5018.197843000409,643.3272266317508,6920.246291163567,-5043.555408457643,7295.708121916992,0.0,-16914.66570566489,-5448.526045401828,-4339.316417560061,3048.3311452940907
2,-2288.915600577846,7993.5234886221515,7253.57476079715,4533.202319147153,12689.467300497156,-5479.260595577849,7355.675961422152,8244.329506597154,-5395.9114475278475,2984.1253911721506,10949.540197672148,-1813.8567265778474,6855.0678609346505,-9522.00212670285,-4497.174460002847,1598.839807972152,9968.408424472153,3409.795014472147,11053.685765472153,-11274.058553532534,-5507.539672852847,3445.5063594971507,10582.547175547152,7850.984943747157,11373.217904822151,-3146.752517227851,1990.0710886971501,9190.951651772157,5740.557451522152,8778.129295972154,-5024.786311307849,-169.5658281028518,5354.155480722155,3018.0488190721517,6158.807882497153,1467.028734694657,11418.473444134652,13615.076492747154,7889.367249372153,17428.005336309652,-4311.485999797849,10179.823933122148,7946.282063622151,2843.0970892596524,18361.206921514648,-1840.264581772848,6525.986688902158,15361.869468397155,-965.1423408653427,8680.307145262152,-5115.063671452848,-3448.7321905953504,3839.0613092246567,12154.582483097154,8657.464280562148,16214.32805080965,-9071.045125212222,-4722.94620214785,7575.054944597148,16201.65938745215,7386.721758034655,13914.213605527148,-433.2043074528483,6482.459451347153,16282.816612722156,8195.599367517156,12527.682521872157,-2110.47508626285,1947.8850301221464,7843.78667970965,4660.244073377158,7124.759722304654,1478.104186671415,859.3348145438722,-7475.137608588895,664.7402100719191,0.0,-10104.700710293764,2024.0860164670958,-4354.338336324097,-1086.650056823666
3,-15693.565004543983,-11483.682891243989,-9081.554776168989,-13100.481346918983,-13773.673719493992,-18745.336223868988,-12131.50640399399,-3284.2536701439894,-19245.525806618985,-8655.11307191899,-13325.003853468988,-7295.861470218981,-3706.935757893989,-21770.26255769399,-17781.711936468986,-11067.002135493982,-12987.61475849399,-14535.45663559399,-13664.974322143986,-23466.034509018988,-12543.99949354399,-15899.808897843992,-11045.911010343989,-10979.146299143991,-11958.25249019399,-18957.26626791899,-15134.367091693988,-15233.722960293991,-9960.124002218981,-7351.212835343991,-20839.798726443987,-17255.10878726899,-17148.61382294399,-18953.27879979399,-15620.299490743986,788.9384784060094,740.9391058060137,5189.883846481011,1996.2840679185028,2213.422859956001,1655.688178306009,4879.25248000602,8365.910854731002,5353.792443081009,3114.01568233101,-2725.3654437189834,5870.086252606008,828.6395971310121,14168.120869931023,12558.057397643512,-4833.414347918988,-1580.1487561289832,5996.833426881014,3424.330556431014,-189.76249914398795,2015.23949480601,-9771.455332690864,1422.2663208810118,-4962.881133043993,742.5924922310078,818.0618473810173,-634.9073521439932,-2337.913002518988,-3139.580738493991,-1718.3509218189865,4467.873366906017,6405.387570406019,-8703.132887001491,-5628.452948643993,-5754.56138866899,-8917.049576718993,-7614.096016131487,-1481.7617162310635,7179.262335356514,-27864.679006247825,-84.83473963312281,0.0,-15067.74944908503,-990.3031626928132,-21659.191340964157,-4999.127802006784
4,-23553.36550211045,-26000.266472285446,-28120.73135658545,-26071.456203335445,-28139.82352131044,-21396.245174235446,-20090.254571235448,-21390.754901760447,-19708.378089235448,-23365.56958908544,-25104.028840860447,-16643.398149460438,-23080.81264526045,-14944.846669910447,-20694.49586471045,-25670.490542510444,-31303.343180435448,-30097.696038385446,-29166.550291660446,-21887.849117991696,-22755.76845536045,-28955.56822273545,-22008.13226721045,-19292.90930876044,-34110.11111431045,-23194.140528685442,-31178.612129985442,-26271.70176841045,-23024.954234235447,-28418.658234635448,-19015.359027035447,-21734.17335443545,-25787.543793885445,-21176.296029960446,-31153.29506603544,-8325.460333585448,-6934.266083460447,-4715.354836835453,-5594.262980410451,-4309.545423260453,-3731.2432049354393,845.674475014559,-1598.600430335442,-6205.6971251104405,1853.9805734395632,-6773.114885335439,-7410.537194810451,-6990.269532885446,14.29030158954265,-1306.808140135443,-1360.039580385448,-3989.8458102104487,-5685.758330360448,-9021.510821585442,-9445.144816935448,-7169.976084660448,-7254.481528429198,-6370.650945710455,-9754.93888763545,-2247.8750354354415,-536.7471049604501,-14736.723964185447,-5935.703556860448,-13312.56414376045,-4309.809207685452,-2152.884849285445,-6008.615155435444,-3407.104226135445,-1682.4175441354455,-8115.4687807854425,-5838.1891495604505,-10401.877301035442,-10096.162739951957,6113.223141545852,-31656.549921995633,459.15088199333695,0.0,2205.0533004721656,-17479.589241794674,-25995.237728159133,-4056.6679994395236
5,-5146.0931785446155,-6987.1191517446205,-6121.818283169618,-9213.282656769625,-7918.04784636962,-5138.371652219619,-8911.83129496962,-7658.122813919617,-6085.106546369621,-4622.374234519615,-4554.8178594196215,-3365.7869842946166,-7376.733666944616,-3660.13698971962,-7002.669201769619,-9613.28595136962,-11558.36110641962,-11375.534347919616,-13228.225101219617,-5914.942595147746,-6244.189206419622,-10248.14587349462,-7044.1219090446175,-7598.417780694617,-11365.334140394621,-7377.454096519621,-12081.164118319619,-12068.830748194618,-9882.260727769619,-11889.21291848212,-7937.079640769618,-3526.1356568196206,-6211.502577769621,-5907.798856019617,-11973.460455819619,8789.213815205381,11466.803071530383,15193.721673180386,9454.406547980383,13059.744944605387,8579.92634168038,9349.028771355384,9098.654711655377,15723.546028955388,12298.39079455538,7126.9725316803815,12068.502690380381,13272.946560330376,13754.659888380382,11634.873672955378,6942.125756555375,7400.590360855385,8686.752549055382,9266.20953413038,8386.560909042884,7647.019931430383,-4491.826166178995,7063.115229530376,5832.28186480538,9736.942423530381,8775.621183205381,8735.56704495538,7869.394195930385,5698.845422255385,7952.906162380379,8175.273222630378,7318.074654705379,6218.422127055375,14561.719632055378,13219.211067055374,10649.525507680388,6289.057559955385,-3718.47001396017,4715.030702251235,-9305.025579132816,4586.323011666078,0.0,-8310.988154571816,-15437.379175537393,-9241.053884530484,461.6621525560695
6,327.3937301161386,3141.19991751614,8880.820408228636,3284.6799222911395,2808.7981417661395,3041.5954647086437,2049.989180066139,2455.529491691137,5618.636805291138,4570.968082566138,2749.6126920786373,6695.321850841141,2184.338087466138,3756.507542291143,2479.097577016142,-156.68523482136152,-223.3736129088611,1165.1767703911391,-1938.3128666213634,1850.94461475989,2836.5722402786414,838.2136670536383,4141.433300116139,107.05046879114161,-1601.43397665886,1169.54441714114,-632.1631465338614,1670.2551202911382,1749.9134053911403,1458.0852043161394,1719.5888792911392,2454.0327250161426,-242.98636570886083,-1190.811033308859,-5530.876131446359,10637.421931083638,14697.376347956142,21923.157354798645,16302.192653896138,15808.245021446139,12912.399914138641,14082.031658211137,13861.06758376864,11647.231604121142,6317.891086653643,15304.88261257864,15579.334942962643,13982.59566113639,18245.47435492864,13541.823121853642,12351.839427151139,12801.532250211141,12292.175176361136,12335.936731778642,14232.619008611142,11577.631310516143,-1271.528960416672,12604.044539701139,11841.749741916141,16535.71902082364,10512.857776378642,9636.41574738739,12036.257254968641,12198.402081398639,14396.985352611136,14040.611019716143,14395.287868616138,12407.977345216135,12540.62636069614,11611.65851174614,9617.328505278641,4963.718452318641,12991.31172289194,8867.35546517248,867.9987279565757,9632.33293366757,0.0,-4912.602207528074,-10854.87962604614,-1067.4277311316037,3957.291861603284
7,4233.307500982593,7819.554418607591,15266.262561082594,10483.895626455096,12999.535414020093,4475.156108995094,7130.988569082592,7317.056335420091,5419.562157405091,4819.663965882593,6299.590222200093,6454.8277727825935,2757.2097007075954,5730.998732517592,3618.1184877825926,1226.8214016175916,6333.407752547593,2939.332812925093,1720.288824850095,4710.907995888845,4814.346963800095,2164.1886459000943,5830.308876182595,4998.513354070094,4481.194384082593,5570.6963189325925,6256.527365772594,7564.793704517595,6895.260619982591,3950.3013451700917,6930.689552332593,7543.130155072593,4954.739202207593,4480.592984295092,7538.504041745093,14176.396442914343,19248.970090889838,25792.682410280097,19751.52245156884,23949.47390803934,13548.142366444341,16196.026600618092,14550.212766528593,10369.073673108343,9200.283635013346,14312.327551805092,14422.395808308842,15827.477571531972,16377.074370833596,12965.84756578209,15574.647592807594,14544.207041644093,10053.774866197842,16070.872867916843,11802.744254573596,11124.33436999409,2991.8209456182176,14921.187367268592,11028.907017950145,16456.895566805848,14384.806681081342,13914.957262951093,15496.85379286684,17822.473449409343,18229.20885309959,18276.81377868384,14512.641206775343,15381.935024287597,17327.92382509559,14409.916293863595,13547.063707820593,15302.182621639591,17212.439145790304,4845.470980953616,4284.135439344305,8166.919022088086,0.0,-4931.167386944775,-6036.230567677501,-363.93283447052636,3239.927939791616
8,-920.4529393407593,1401.7639706067403,4101.66572448174,1402.9799008142381,2652.3616721892395,545.7543110067381,1256.313104234241,-3993.26299863076,405.9680888542389,906.1097926142393,-348.6466521757611,-873.5248126482602,432.32109272173875,55.736481146741426,-1278.6239849032609,906.4567573617387,-259.6473190882607,-685.6023881232613,-35.16141311325919,-1081.1270736670103,-383.91466180326097,-1981.2001899532606,-1519.9449084157604,-730.7828179457592,-1653.7232719532603,-93.08506260075956,-648.5214313832603,1069.00340626674,-2428.8475112407614,-2399.265098825759,562.8773328467396,-1008.5990182082605,-1823.08916718826,-1769.4295573107593,-3624.5611169332606,13271.847977222063,15808.276895678991,16983.04207903599,14126.993513135465,15695.475838778842,12845.78005776499,10736.292856315365,2318.94736774754,8190.8967553161165,4758.455866667839,13405.083223534511,14947.822675248892,11616.969908402938,11050.74077658949,12426.823457745337,12128.33058456649,11404.030019927064,14724.516074599138,13872.679659041463,12956.401575537864,14676.540619140465,2343.5447541859576,12395.06757062524,10458.40403182264,10538.43764163199,12768.927133099416,10528.31633901089,12502.477880013692,12208.685619839242,13737.559962376818,8371.570153229815,8734.509102158492,13208.299386643514,9710.468351926891,8592.746273790264,8752.602999980165,4630.564185214589,18046.214062325966,4056.3741533149987,1250.3534083292143,5246.171941731784,0.0,-2498.304767140906,-1213.7546617598928,368.84319584254445,4017.5590291090375
9,-4068.534739843133,-3138.3398938381324,-2289.3921191181325,-1650.1578508481325,-3629.6858528931316,-1439.8009735056312,524.2086572668686,-4455.667940243133,-3820.7295624081326,1120.0277404968674,1050.4117305143682,2970.9418317818654,2515.3642098018663,-2193.2487865031326,-2678.4195081181333,-1999.2928208131325,-3315.2615635156326,-116.01760977313097,-2036.5423849431336,-2181.957344647508,-3997.8228178731333,-5040.5129806781315,-5249.746738180633,-3920.1220485581325,-5611.389065625632,-2513.680604985633,-3979.3546396956335,-1465.0682699206318,-3740.704354483132,-1084.1630933556335,-909.3739356331334,-3203.119014735632,-5231.816451063132,-2611.1121744481334,-5595.8107918456335,7306.020370298591,8544.235914840317,9945.737389259191,10621.09537005762,7662.104173336267,10611.969128269493,12865.893647120914,5659.223597272341,7467.720597261667,9153.923706278145,7671.9625630295905,13747.580593160494,12903.24035933339,17707.89965644964,15600.714547593465,10561.100020629792,10609.908598172215,10962.317121480866,8401.825629644844,12914.828958258842,10038.199206060044,2757.2884206020226,7955.835416521042,5722.592500036391,5871.89942075484,8055.6170396224425,4989.4878712907175,9638.419610506391,8748.382686925319,11629.112677084415,8476.19744586697,10387.242068845719,10884.466545402216,7637.792161720145,5742.021685161641,8469.450386892842,4783.913789422395,19889.742447718112,5539.8698603546745,2274.186271846329,6684.376822293774,0.0,-6085.782481029746,-3498.798086908577,4382.044761408253,4857.761762421635
10,-4893.7512126888,-5443.881766631297,-8790.692792611299,-7427.865295226296,-8242.444134533798,-5748.383565848799,4776.660943726205,-1000.704866603799,-5280.605972201298,-3309.1902335263003,-4142.420148703797,-3756.6250398087977,3970.6036776336987,-5671.384864993797,-5054.868258325048,-4250.9280452688,-7132.758803183799,-6146.497488311299,-8685.765187936298,-6331.718430458484,-6147.098504078796,-5291.212532918798,-5152.167841513798,-11295.898187061299,-4572.288893651297,-6270.008526248799,-10760.899144941297,-9639.7646807438,-5338.064163253799,-6556.1285773813,-5650.187609393797,-3755.995164986296,-8259.074157233797,-8392.755936146297,-9357.369061544548,7627.800278733204,6881.737298769851,4443.627072792875,6087.687729123729,4696.9139728603295,6044.4619071701745,15482.059616780727,9219.3448607254,10980.743978183007,7775.65611015795,6795.626327725953,10250.955949363455,8102.6713442129985,9427.226719969429,17306.3470260419,7293.489002970575,7290.4237372308235,8436.983290045926,6493.234971189304,6487.375228144705,3370.246203218776,-1827.3509407811434,7373.264562890599,5453.559603266123,6851.998826312876,-232.10632504027308,6852.171905199702,6733.725097625131,1893.6152606512005,3689.315859809354,9643.509830602201,6702.635909314351,7755.154097157301,9140.26456100395,2705.3399933453293,1749.156229787779,2712.9344296846502,17316.14554691267,7164.114318708129,63.07945821076646,5767.43778138141,0.0,-6577.9290190909815,-586.1735656452875,6554.735304461989,6264.987966702061
