month,PRMS_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,PRMS_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,PRMS_RAPID_Daymet2019_1980_2019,PRMS_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_Livneh2018_1950_2013,PRMS_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,PRMS_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_ACCESS-CM2_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_ACCESS-CM2_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_ACCESS-CM2_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_BCC-CSM2-MR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_BCC-CSM2-MR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_BCC-CSM2-MR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_CNRM-ESM2-1_ssp126_r1i1p1f2_DBCCA_Daymet_1980_2019,VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5_RAPID_CNRM-ESM2-1_ssp245_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2020_2059,VIC5_RAPID_CNRM-ESM2-1_ssp370_r1i1p1f2_DBCCA_Daymet_2060_2099,VIC5_RAPID_Daymet2019_v20200704D_1980_2019,VIC5_RAPID_EC-Earth3_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_EC-Earth3_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_EC-Earth3_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_Livneh2018_v20200704L_1950_2013,VIC5_RAPID_MPI-ESM1-2-HR_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MPI-ESM1-2-HR_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MPI-ESM1-2-HR_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MRI-ESM2-0_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MRI-ESM2-0_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_MRI-ESM2-0_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_NorESM2-MM_ssp126_r1i1p1f1_DBCCA_Daymet_1980_2019,VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_NorESM2-MM_ssp245_r1i1p1f1_DBCCA_Daymet_2060_2099,VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2020_2059,VIC5_RAPID_NorESM2-MM_ssp370_r1i1p1f1_DBCCA_Daymet_2060_2099,nhmv10,nhmv10_withObsScaled,nwmv21,nwmv21_withObsScaled,pub_nhmv10_BC_withObsScaled,wrf1960s_calib_nlcd2016,wrf2050s_calib_nlcd2016,wrfaorc_calib_nlcd2016,wrfaorc_withObsScaled
1,-33.09573438903502,-5.957845530834381,9.79511791802064,-0.35332450904799684,11.562265008280283,-34.44522355085573,-9.561360080963757,-3.2154867355151864,-31.32537001243393,-23.093172940603694,-1.1633649216709225,-27.94758636220867,-10.924242611397968,-35.60921065869809,-29.786347836973263,-9.879977152653575,-3.698085767231882,-19.726843180430894,-5.673971752635246,-41.60953397182301,-33.47699925199022,-15.464100613310658,-7.915628610415112,-21.04559493997775,2.512179285196742,-28.387247784660207,-19.00127829611446,-1.3591440599444695,-20.879305761079138,5.810079224746021,-28.437024166839763,-22.681762481384872,-23.106834454604407,-29.692262823395925,-18.707235794854025,-32.82798981286643,9.890370695459092,34.290535243953386,7.893587793122378,29.757843605435024,-31.492275575095935,-0.9650325632953619,2.6403359329982408,-1.2401173867080637,13.949844259005776,-27.398890515176454,-12.104447686276906,17.908983744295234,-22.03001537578908,1.1102857031369282,-32.090864370385255,-29.127960811662685,-1.9105022058692491,2.153152442310513,-13.143043951304763,8.039363378163149,-39.079773219590194,-31.247009177401775,-14.693252725313375,5.441612451537722,-19.355344182234056,11.00320722105992,-26.809799208663428,-8.96796866222208,15.244750883099636,-14.135842721382158,20.0261421280366,-27.842920144170925,-13.281525988222095,-12.014650835353926,-23.089427096037955,-12.293651498641317,1.5760320679324682,16.953316479340543,-12.355772818353742,17.87312814136235,0.0,-41.43778541762988,-13.347875567893382,-10.630518255517845,7.4678444184841295
2,-6.5524401321855805,22.882925037163044,20.76468627871507,12.977121915634534,36.3259242825919,-15.685387006888165,21.056969665813618,23.60090319990447,-15.44678480481115,8.542605488666373,31.345064275018963,-5.192497096119662,19.623887289467635,-27.258475086636224,-12.873985570164095,4.576971785262781,28.53639487538926,9.761162748732701,31.643200037591313,-32.27405750571461,-15.766341045032295,9.863393014565608,30.29447953270832,22.474882345861335,32.55791931027724,-9.00815542291487,5.696942982165661,26.310782468713857,16.43339711476245,25.129002864903015,-14.384371129087656,-0.48541323971399986,15.327250702030446,8.639717514263626,17.630715577938915,4.199638446195202,32.687471580321656,38.975650125033454,22.58475872561057,49.89085729537192,-12.342418343122691,29.141610490632974,22.74768780561397,8.13888614445283,52.56231775322922,-5.268094418336777,18.681832161778345,43.976164951084456,-2.762896721032911,24.84896904191404,-14.642806607220852,-9.872627546910165,10.990016139578945,34.79471852614385,24.783577157933433,46.41648377499196,-25.96752807499836,-13.520298533198167,21.684982185432524,46.380217405806526,21.145843944798866,39.83198489871884,-1.2401266734662921,18.557227472061264,46.612544827464966,23.461404251636495,35.86278572214363,-6.041621477749287,5.576177662921997,22.454275996658456,13.340802205405724,20.395929637957252,4.231343955999183,2.4600032977974458,-21.398950510784378,1.9029406015901635,0.0,-28.926556506119276,5.794316942899258,-12.465091005033697,-3.110734812666577
3,-23.914947920460243,-17.49963620118579,-13.839105993189163,-19.963426350470073,-20.98928379751419,-28.565449559455917,-18.48683481186348,-5.00477459750747,-29.32767330010117,-13.189264408737309,-20.305569391236137,-11.117942102043715,-5.648887016357222,-33.175043091308474,-27.097011722585258,-16.864669030225325,-19.79143237820423,-22.1501416879905,-20.823640081388625,-35.7591785563333,-19.115420525261406,-24.229236736656855,-16.83252890403985,-16.730788184782615,-18.222818425252587,-28.888403328390456,-23.062803174561807,-23.214208570497863,-15.177931000727032,-11.202290369241624,-31.757137468222023,-26.29453714882067,-26.132252701348968,-28.88232694660491,-23.803300825209075,1.2022394285851496,1.129094639901935,7.90870664924727,3.042076768719687,3.3729679907960506,2.5230530185617597,7.4353449274485675,12.748557917858417,8.15848199030392,4.745354089072799,-4.153101773363152,8.945246473891386,1.2627387597707371,21.590369851405974,19.136842939117884,-7.365493587659606,-2.4079407832741015,9.13839265010913,5.218233517736523,-0.28917331931723955,3.070962369072033,-14.890424535199218,2.1673485268035404,-7.562784096399808,1.1316141853484083,1.2466196476178553,-0.96751606511615,-3.5626747448154514,-4.784311903090475,-2.618542873622233,6.808456768989789,9.760975923078638,-13.26244034909985,-8.577028807706096,-8.76920163616509,-13.58842150713692,-11.602890078477706,-2.25801175602467,10.940260215423358,-42.46213954966965,-0.1292770877480358,0.0,-22.961286568671703,-1.5090929660920511,-33.00578503153767,-7.618019296323109
4,-32.42080198628761,-35.788919032108105,-38.70770242748346,-35.88691047089515,-38.73398246342919,-29.451563004097785,-27.653889430356426,-29.444005738587396,-27.12824302941926,-32.16230414616059,-34.55526336712529,-22.909350926272232,-31.770341116964467,-20.571324066498338,-28.485617164804232,-35.33498814405216,-43.088512793246814,-41.428960265425076,-40.14725418090649,-30.12824736645659,-31.322923387358188,-39.85684099648655,-30.293815049884206,-26.556357408145402,-46.95198051710434,-31.92633499680799,-42.91682265037449,-36.162545042665684,-31.693452976161492,-39.11779364433255,-26.174314225219458,-29.916715324468697,-35.49610992872195,-29.148806794886227,-42.881974147848446,-11.459852771175328,-9.544897844512166,-6.4906047268033795,-7.7004066502027095,-5.932015057717334,-5.135992013500312,1.1640563509638597,-2.200445961850148,-8.542035220489078,2.5519723307704036,-9.323075995579549,-10.200476827120152,-9.621985628174942,0.019670354035705856,-1.7987988995289743,-1.8720710603008894,-5.491954046102741,-7.826348423709733,-12.417954280782716,-13.001079179713692,-9.869348601853325,-9.985668889879447,-8.769091313771181,-13.427505382873099,-3.0941612742026874,-0.7388231463175245,-20.284846746280298,-8.170393723522544,-18.324515279820076,-5.932378152435546,-2.963408918853143,-8.270755283304386,-4.689820291383977,-2.3158187755284545,-11.170803015143136,-8.036166821231228,-14.318004967583608,-13.897194139155527,8.414746374665235,-43.57469579020827,0.6320132817368054,0.0,3.0352178934858527,-24.060353564295944,-35.7819970524214,-5.583933638789483
5,-12.159373909112487,-16.50941624372438,-14.464852253171284,-21.76947538009526,-18.709048020284765,-12.141129209205745,-21.057195268491437,-18.094887812095216,-14.378108442067122,-10.921911966092148,-10.76228733507888,-7.952802450428376,-17.43001142270133,-8.648303221971755,-16.54615846078094,-22.714617540403705,-27.31051102134271,-26.87852138569813,-31.25612568195401,-13.97603894255139,-14.753994668548403,-24.21468738080467,-16.64410440731047,-17.953814613835704,-26.85441996877003,-17.43171367959287,-28.545808767020166,-28.516667036836456,-23.350160808839522,-28.09225957345756,-18.754017028081936,-8.33168005668516,-14.676761527640512,-13.959159458998657,-28.29132268247384,20.767470280521426,27.094174405977217,35.90027162070066,22.339211576065374,30.858034712851577,20.27295831643692,22.090221178255153,21.498628351734308,37.15215965002797,29.059079764598827,16.83986683606539,28.515891890042816,31.36179515279764,32.50000471674096,27.491297663359415,16.403104232541324,17.486380876465933,20.525371118478798,21.894532908076737,19.816067522787986,18.06865352232013,-10.613448298414271,16.68898250756035,13.780725198131899,23.006797496948856,20.735353121122515,20.640711763748804,18.59408742645012,13.465436776066042,18.791412502137522,19.316829383806688,17.29140980042021,14.693111287376462,34.40695448423664,31.234826998072908,25.163081605751024,14.860011226818706,-8.786134588093805,11.140843998054503,-21.986248854228936,10.836728841079072,0.0,-19.637501502493897,-36.47599432414327,-21.83509423512635,1.0908319258615835
6,1.3758594181688615,13.20077048919878,37.32130238228189,13.803739629195958,11.803864954021128,12.782186649984336,8.614999803257458,10.319267191024649,23.61210266026701,19.20931559781838,11.555140403486142,28.136829690916148,9.179595861652997,15.78657685243453,10.418311153018402,-0.6584636057034349,-0.9387189210436027,4.896610062769193,-8.145684439200648,7.778522758584725,11.9205845228596,3.522560336890084,17.40421237957623,0.4498754318032787,-6.729964005664056,4.9149649283742605,-2.656641037900563,7.019182185260936,7.353943030409496,6.127546364859779,7.226505388823039,10.312977087283622,-1.0211407519275508,-5.004337055740775,-23.243291841527896,44.703351966226215,61.765152507760014,92.13121617172591,68.50933062068614,66.43353490539414,54.26385846402225,59.17919038042931,58.25059745108143,48.94703784473651,26.550691583048813,64.31817395835695,65.4715492030914,58.761314469880354,76.67589639325703,56.908985015595306,51.90812481817177,53.79794141811267,51.657388124624546,51.84129435933935,59.81202786400435,48.654545317681134,-5.343551005216706,52.968006995173646,49.76449275383016,69.49071609564311,44.17987595049336,40.496662409296725,50.58190301285666,51.263310339966836,60.50277103230557,59.00512175804094,60.4956374218333,52.1440422355845,52.70149456429664,48.797543307500945,40.416449016655164,20.85983375227905,54.59548227135495,37.26471648275246,3.647730896966181,40.47950454342358,0.0,-20.645019721504614,-45.61720947217575,-4.485823526831314,16.630365145656384
7,28.22868605520068,52.142620568715124,101.79901483013872,69.90907185598972,86.68394723999174,29.84138922568559,47.551102189749706,48.79184564146318,36.138909980558836,32.138648315267424,42.00714326035196,43.042303611532354,18.38572015181105,38.21564201642373,24.12646160913795,8.180732484948456,42.23264647435666,19.600159725829837,11.471288856217468,31.41343803161339,32.10319329989071,14.431316845082367,38.877865317463296,33.33125793059487,29.88165385841553,37.14670797231482,41.71999004635796,50.44381645028621,45.979213006637984,26.341534714962343,46.2154614266611,50.299358827970245,33.039361632021624,29.87764358375651,50.26851082065033,94.53153225656455,128.35664157530599,171.99164816453703,131.70777843758557,159.70070210594008,90.34218690816846,107.99889923999338,97.0242270676943,69.1434121744008,61.349646415081004,95.43795273207255,96.17191364957417,105.54132798262397,109.20616818164746,86.45930877667078,103.85539845988154,96.98417948734274,67.04092587219147,107.16434483348263,78.70346344432765,74.17966741862088,19.950162889803636,99.49797260503411,73.54333548164196,109.73843461424852,95.9212605440892,92.78819456328365,103.3366511789295,118.8444278176698,121.55663476593479,121.87407556103109,96.77369110624275,102.57034591069166,115.54665507608888,96.08869732396718,90.334994159793,102.03853820809128,114.77657618256703,32.31073553697117,28.567618654477446,54.45892911376274,0.0,-32.88217924622734,-40.25099939284439,-2.4267893903438997,21.604598445216215
8,-7.159101674969801,10.902644079848884,31.901948164057696,10.912101345520043,20.62954669208349,4.244769542317561,9.771355888386363,-31.058813112778626,3.1575398379218056,7.04754350467626,-2.7117049931436705,-6.794103948254857,3.3625083116641217,0.43350737281619744,-9.944885524004702,7.050242128146089,-2.0194857091960756,-5.33248034244089,-0.27347854600119714,-8.408793446287554,-2.986012625837983,-15.409384871434458,-11.821832137876081,-5.683884827117488,-12.86233390123834,-0.7239972833994696,-5.044071964173388,8.314497949057447,-18.891097570315488,-18.661011392936803,4.377949033735228,-7.844684515646384,-14.179628477024107,-13.762274599891203,-28.19112249437984,103.22581961846491,122.95366418548016,132.09075640650218,109.87697317215479,122.07631978157116,99.9119472568636,83.50477127669708,18.036315899538,63.707181729993366,37.01033253229689,104.26209712302001,116.26122072918801,90.35450393464615,85.9504852686993,96.65338533724113,94.33176655912987,88.69829942152097,114.52438597054358,107.89897010323486,100.77233963471042,114.1512423269613,18.227629526693427,96.40639430168156,81.34340673120917,81.96589238533763,99.3142003453336,81.88717088698542,97.24181053317584,94.95675219720651,106.84803571499106,65.11242383455208,67.93529149690971,102.73155119711714,75.52611032217567,66.83268813866924,68.07602227049455,36.015616222778206,140.35989869617055,31.549679243895344,9.725002547425179,40.80369210633521,0.0,-19.4313224267972,-9.440344704891825,2.8687897319865123,31.247782852629452
9,-26.699101608798603,-20.594848284805643,-15.023765733674061,-10.82889417138164,-23.819226721939945,-9.448461165052297,3.4400345823567027,-29.239600661786287,-25.072920186103282,7.3500010102781985,6.8931571972170005,19.49632556010388,16.506671053575612,-14.392840653605706,-17.576695093180305,-13.120035979019192,-21.75586814516451,-0.7613468115211914,-13.364480222754151,-14.318742391530947,-26.235066050458194,-33.07755170766528,-34.45061442158115,-25.725167311065096,-36.82383374104276,-16.495622669100126,-26.113871616289618,-9.614273713672624,-24.547767694044875,-7.114645060429671,-5.967619465084924,-21.01995079506162,-34.33294981055129,-17.135001595254828,-36.72160383737039,47.94457776464148,56.070167135567694,65.26729402843854,69.69922161530867,50.28132016613732,69.63933212870273,84.43034746846529,37.13774012319498,49.00570936751908,60.07114471942143,50.346014255029715,90.21627553955499,84.67542923078885,116.20522926251027,102.37716758247959,69.30551183209303,69.62581023299505,71.93843420532646,55.13562265759219,84.7514775381031,65.87405975604182,18.094259583305316,52.20888397201291,37.55358830489213,38.53339083874303,52.86368474531977,32.7427076748017,63.25057077897019,57.40984732992087,76.31417226085082,55.623675680391734,68.16459712520287,71.42755238326107,50.12177651960128,37.681089191822046,55.57939919644122,31.393660990700035,130.5232199160072,36.3545005165258,14.92397981876421,43.86514246079678,0.0,-39.9369638506084,-22.960296913832906,28.75646045083383,31.878276377021287
10,-20.15800625965406,-22.424066520593815,-36.21002225873123,-30.596356171275684,-33.95171377490026,-23.678349566038985,19.675696008864723,-4.122035242159835,-21.751512002980412,-13.630990735460424,-17.063174578874595,-15.474033676107608,16.355439888487716,-23.36118176850243,-20.821668606454892,-17.510132906569687,-29.38077363442074,-25.318233285555902,-35.77781162522683,-26.081182759068383,-25.320708948718334,-21.7952018245599,-21.222458414055858,-46.529293473847986,-18.833860597610787,-25.82699153003408,-44.325561904494556,-39.70746127677794,-21.98818986512869,-27.005557732334452,-23.273867478809002,-15.471439138693881,-34.02021503030033,-34.57086789739597,-38.54423650050459,31.419914720514175,28.346782972172925,18.30388559938901,25.075988136117573,19.34720772492118,24.897935278166976,63.772644154489285,37.975696625228125,45.23113174898285,32.028952378100534,27.992080532697244,42.225038669501934,33.3759712289959,38.83198940305556,71.28712444109337,30.042842512179874,30.030216278584433,34.75304619743808,26.74649067881869,26.722353624882082,13.882488322027346,-7.527099376719676,30.3714485582056,22.46393080526748,28.224286284481508,-0.9560765453167421,28.224999219228785,27.737101207099883,7.800050844147956,15.196778292089938,39.72288804266936,27.609040742777275,31.944501884309386,37.64995444759821,11.143652006450196,7.205005055784626,11.17493449070678,71.32748584004152,29.50993113563888,0.25983260247706363,23.756836391234202,0.0,-27.09535662511583,-2.4145261767463793,26.999818657541258,25.806311183532664
